Gene_ID,Sample_con-1,Sample_con-2,Sample_con-3,Sample_trt-1,Sample_trt-2,Sample_trt-3
gene10000006,127,143,135,193,185,276
gene10000007,79,53,93,52,31,35
gene10000008,0,3,0,0,0,2
gene10000009,17,5,25,16,16,8
gene1000001,1,1,2,7,3,12
gene10000010,16,11,22,22,8,1
gene10000012,0,0,0,1,0,0
gene10000013,0,4,1,12,7,3
gene10000015,7,1,0,0,0,0
gene10000016,2,0,0,0,4,1
gene10000017,0,0,1,0,0,1
gene10000018,0,1,0,2,0,0
gene1000002,85,74,66,138,155,179
gene10000021,166,165,138,238,225,354
gene10000022,0,0,0,2,0,0
gene10000028,48,44,36,336,359,330
gene1000003,85,74,66,138,155,179
gene10000031,0,0,1,0,0,0
gene10000032,734,693,723,944,1009,1223
gene10000033,1090,965,1097,6,6,6
gene10000035,0,0,0,0,0,0
gene1000004,3,0,2,1,9,4
gene10000040,771,632,960,329,311,272
gene10000041,2375,2165,2379,2394,2400,3219
gene10000042,18,18,12,8,12,7
gene10000045,0,0,0,0,0,0
gene10000046,0,1,0,0,2,0
gene10000047,0,0,0,7,3,2
gene10000048,96,80,122,110,125,108
gene10000049,144,96,84,250,224,243
gene10000054,0,0,0,0,0,0
gene10000055,0,0,0,0,0,0
gene10000056,0,0,0,0,0,0
gene10000057,120,100,97,146,107,159
gene10000058,0,0,2,1,2,0
gene10000061,4,9,10,17,6,7
gene10000062,193,206,238,410,404,392
gene10000063,0,0,0,0,0,0
gene10000064,1,3,0,4,5,2
gene10000065,818,737,627,426,437,646
gene10000066,66,52,61,145,172,185
gene1000007,1519,1517,1611,84,66,97
gene10000070,114,87,99,145,134,195
gene10000071,648,554,673,664,615,830
gene10000073,0,0,0,1,0,0
gene10000074,220,193,155,161,198,154
gene10000075,165,132,176,166,179,208
gene10000076,230,226,267,344,398,313
gene10000077,1,4,0,13,6,5
gene10000078,301,276,247,0,0,0
gene10000079,65,50,56,62,51,111
gene10000080,52,43,34,65,64,90
gene10000081,286,215,339,541,600,353
gene10000083,3,0,0,14,23,16
gene10000084,161,141,191,329,371,331
gene10000085,101,95,144,134,172,187
gene10000086,149,174,112,316,340,305
gene10000087,498,343,434,608,645,776
gene10000088,110,54,106,92,97,99
gene10000089,114,73,94,42,38,43
gene1000009,20,12,16,3,0,3
gene10000090,36,30,27,44,36,54
gene10000092,493,453,465,759,926,678
gene10000093,61,91,66,150,115,152
gene10000094,2147,1647,2276,1184,1084,1279
gene10000098,645,615,503,1645,1630,1919
gene10000099,17,25,17,10,29,21
gene1000010,131,137,144,64,85,128
gene10000100,8566,7262,5425,2,0,1
gene10000101,0,0,0,0,0,0
gene10000103,0,0,0,0,0,0
gene10000104,0,0,0,0,0,0
gene10000105,521,468,432,61,67,60
gene10000106,157,77,104,56,37,53
gene10000107,121,117,120,81,59,75
gene10000108,6,11,10,39,68,92
gene10000109,56,48,31,55,35,90
gene1000011,69,59,88,239,297,282
gene10000110,0,1,0,0,1,1
gene10000111,107,167,92,199,166,335
gene10000112,172,117,124,113,125,127
gene10000113,79,106,71,95,124,113
gene10000114,78,106,78,179,193,222
gene10000115,30,16,56,58,52,85
gene10000117,10,15,17,15,18,30
gene10000118,338,336,344,70,70,52
gene10000119,98,88,135,76,116,174
gene1000012,0,0,0,0,0,0
gene10000120,93,103,87,169,138,197
gene10000121,202,177,178,208,119,352
gene10000122,31,30,5,33,60,79
gene10000123,16,6,8,179,134,223
gene10000124,327,326,357,300,401,418
gene10000125,34,30,18,188,249,368
gene10000126,14,29,10,40,69,80
gene10000127,111,73,124,163,180,123
gene1000013,158,112,160,129,170,177
gene10000130,409,283,481,812,853,1022
gene10000131,5,13,17,8,2,6
gene10000132,270,244,122,184,120,196
gene10000133,33,34,30,42,42,44
gene10000134,0,0,1,3,1,4
gene10000135,365,349,387,158,212,236
gene10000136,596,491,571,1129,1270,1461
gene10000137,2,1,0,100,75,76
gene10000138,19,41,0,241,360,76
gene10000139,20,17,15,866,1054,1194
gene10000142,0,0,0,0,0,0
gene10000145,49,36,53,119,124,124
gene10000146,0,0,0,0,0,0
gene10000147,0,0,0,0,0,0
gene10000148,367,329,219,322,335,703
gene10000149,275,256,272,101,72,97
gene10000150,0,0,0,0,0,0
gene10000151,0,0,0,0,1,0
gene10000152,13,9,3,0,0,0
gene10000153,17,12,6,3,13,19
gene10000154,204,129,103,1702,1322,1882
gene10000155,786,613,658,930,1008,1404
gene10000156,6,9,4,3,7,9
gene10000157,158,163,109,177,181,182
gene10000158,40,13,22,32,36,48
gene10000159,613,540,657,256,289,356
gene10000160,125,104,118,942,1106,1015
gene10000166,0,0,1,16,15,17
gene1000017,0,0,0,0,0,2
gene10000171,0,0,0,0,0,0
gene10000172,0,0,0,0,0,0
gene10000173,869,749,908,1479,1428,1279
gene10000174,481,495,651,443,562,567
gene10000177,0,0,0,1,0,0
gene10000178,23,32,49,22,12,26
gene10000179,10,2,2,9,14,14
gene1000018,0,0,0,0,0,0
gene10000180,184,251,201,374,383,529
gene10000181,13,12,16,33,16,55
gene10000186,3,4,2,2,4,5
gene10000187,115,105,100,101,111,116
gene10000188,60,39,50,36,29,43
gene10000189,49,59,37,52,49,45
gene1000019,4,2,0,5,0,4
gene10000190,0,1,0,0,0,0
gene10000191,100,76,91,42,27,35
gene10000192,17,18,30,55,51,81
gene10000193,5,4,3,4,2,2
gene10000194,278,273,272,687,601,759
gene10000195,129,123,127,125,129,184
gene10000196,41,37,21,48,50,59
gene10000197,94,54,70,228,203,200
gene10000198,30,25,20,53,49,72
gene10000199,1,0,4,0,2,1
gene1000020,80,79,93,92,90,108
gene10000202,0,0,0,0,0,0
gene10000206,105,86,177,278,238,137
gene10000207,41,19,22,31,34,25
gene10000208,171,99,147,49,69,30
gene10000209,448,394,332,530,456,742
gene1000021,0,0,0,1,1,0
gene10000213,20,21,4,189,198,301
gene10000214,21,22,26,24,26,35
gene10000215,41,36,37,41,47,76
gene10000218,106,120,95,147,130,176
gene10000221,0,0,0,0,0,0
gene10000222,3,1,0,2,0,0
gene10000223,5,0,3,2,1,0
gene10000224,498,483,476,488,618,452
gene10000225,565,436,510,191,174,189
gene10000226,51,61,59,62,56,56
gene10000227,1,0,0,3,11,14
gene10000228,0,0,0,0,0,0
gene10000229,16,23,14,41,33,20
gene1000023,40,38,39,27,25,43
gene10000230,47,58,75,83,116,101
gene10000232,4,11,7,65,64,91
gene10000233,91,82,62,28,51,57
gene10000234,522,479,506,613,561,490
gene10000235,128,118,106,74,71,143
gene10000236,234,218,213,215,291,399
gene10000237,23,31,26,31,25,33
gene10000238,11,5,11,0,0,0
gene10000239,9,6,0,12,9,37
gene10000240,106,140,137,163,119,171
gene10000241,47,50,29,37,20,51
gene10000242,199,212,239,402,420,500
gene10000243,0,2,0,1,4,4
gene10000244,0,7,0,8,26,11
gene10000245,10,21,17,116,119,111
gene10000246,114,89,89,48,38,50
gene1000025,507,606,797,1413,1701,1295
gene10000251,4,0,1,0,4,4
gene10000252,92,88,76,93,34,91
gene10000254,0,0,0,2,0,0
gene10000255,2395,2507,2315,3065,3395,3993
gene10000256,19,27,26,16,15,13
gene10000257,289,273,303,568,451,441
gene10000258,79,80,148,294,430,263
gene10000259,182,118,178,187,243,286
gene1000026,629,577,748,945,1021,892
gene10000260,173,180,262,450,582,400
gene10000261,1666,1268,1102,5,3,8
gene10000262,181,194,116,140,194,254
gene10000263,4,1,0,2,0,4
gene10000264,98,84,165,219,264,137
gene10000265,1,0,0,25,13,14
gene10000266,185,115,171,112,84,130
gene10000267,44,40,36,225,201,230
gene10000269,250,214,316,352,339,411
gene1000027,297,256,282,452,457,373
gene10000270,20,18,13,2,3,8
gene10000271,0,0,0,0,0,0
gene10000276,0,0,0,0,0,0
gene10000277,98,98,95,216,234,215
gene10000278,101,106,99,1714,1895,915
gene10000279,3,4,0,4,3,7
gene10000280,388,375,446,374,442,371
gene10000281,579,524,496,12,13,10
gene10000282,1,1,1,1,0,0
gene10000283,3,3,10,20,23,13
gene10000284,95,100,101,191,215,282
gene10000285,66,39,31,60,37,59
gene10000287,0,0,0,0,0,1
gene10000289,0,0,0,0,0,0
gene1000029,12,4,14,20,11,13
gene10000290,71,67,72,117,149,107
gene10000293,2763,2640,2979,143,152,183
gene10000294,311,247,248,394,388,403
gene10000296,0,1,0,0,0,0
gene10000297,725,714,889,1239,1156,1099
gene10000298,360,280,369,194,181,190
